"Interval start","All Packets","Filtered packets"
0,13,13
1,11,11
2,11,11
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,10,10
9,12,12
10,11,11
11,8,8
12,11,11
13,1,1
14,0,0
15,0,0
16,0,0
17,0,0
18,13,13
19,13,13
20,8,8
21,10,10
22,7,7
23,1,1
24,0,0
25,0,0
26,0,0
27,0,0
28,12,12
29,14,14
30,7,7
31,8,7
32,27,14
33,51,0
34,8,0
35,15,0
36,74,0
37,4,0
38,14,12
39,15,6
40,13,13
41,14,14
42,6,6
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,7,7
49,12,12
50,12,12
51,11,11
52,10,10
53,0,0
54,0,0
55,0,0
56,2,0
57,1,0
58,8,8
59,15,14
60,9,8
61,8,7
62,16,16
63,0,0
64,1,0
65,0,0
66,1,0
67,1,0
68,12,12
69,8,7
70,10,10
71,7,7
72,16,16
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,12,12
79,12,12
80,9,9
81,11,11
82,6,6
83,2,2
84,0,0
85,0,0
86,0,0
87,0,0
88,13,13
89,12,12
90,9,9
91,10,10
92,14,7
93,44,1
94,14,0
95,14,0
96,55,0
97,19,0
98,8,7
99,25,13
100,8,6
101,8,8
102,17,17
103,1,1
104,0,0
105,0,0
106,0,0
107,0,0
108,9,9
109,11,11
110,7,7
111,11,11
112,12,12
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,9,9
119,9,9
120,11,11
121,9,9
122,14,14
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,12,12
129,5,5
130,14,14
131,8,8
132,12,12
133,1,1
134,0,0
135,0,0
136,0,0
137,0,0
138,13,13
139,7,7
140,13,13
141,11,11
142,8,8
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,33,10
149,6,6
150,29,10
151,15,15
152,27,8
153,25,1
154,76,0
155,62,0
156,98,0
157,14,0
158,15,14
159,22,13
160,21,11
161,7,7
162,9,9
163,0,0
164,0,0
165,0,0
166,7,0
167,4,0
