Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Total Packets,Percent Filtered,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",50221,1,43,1,1,100,1,43,0,0,17.384673,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",61292,1,43,3,1,100,1,43,0,0,26.830935,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",61467,1,42,5,1,100,1,42,0,0,34.471926,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",49395,1,43,7,1,100,1,43,0,0,46.897305,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",52114,1,43,9,1,100,1,43,0,0,55.983318,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",54687,1,43,11,1,100,1,43,0,0,65.109763,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",64134,1,43,13,1,100,1,43,0,0,74.018673,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",55702,1,43,15,1,100,1,43,0,0,84.138411,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",60577,1,43,17,1,100,1,43,0,0,97.011613,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",52169,1,43,19,1,100,1,43,0,0,103.501004,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",58604,1,43,21,1,100,1,43,0,0,117.391972,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",49417,1,43,23,1,100,1,43,0,0,122.530994,0,"",""
