Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Total Packets,Percent Filtered,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",53004,1,43,37,1,100,1,43,0,0,10.466835,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",59313,1,43,73,1,100,1,43,0,0,21.505381,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",65218,1,43,75,1,100,1,43,0,0,28.616465,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",59419,1,43,77,1,100,1,43,0,0,39.089006,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",49562,1,43,79,1,100,1,43,0,0,49.074085,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",57455,1,43,81,1,100,1,43,0,0,61.615204,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",49277,1,43,83,1,100,1,43,0,0,70.215708,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",51444,1,43,85,1,100,1,43,0,0,83.046405,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",55670,1,43,87,1,100,1,43,0,0,91.000531,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",61835,1,43,89,1,100,1,43,0,0,101.022227,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",54591,1,43,91,1,100,1,43,0,0,109.948499,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",52037,1,43,93,1,100,1,43,0,0,120.012,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",62717,1,43,95,1,100,1,43,0,0,128.979497,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",63408,1,43,97,1,100,1,43,0,0,142.284198,0,"",""
